2021-07-19-10,16,라일락,아이유,IU 5th Album 'LILAC',33372781,2021.03.25,댄스,2157,205625
2021-07-19-10,17,ASAP,STAYC(스테이씨),STAYDOM,33397561,2021.04.08,댄스,3321,111848
2021-07-19-10,18,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,33527705,2021.05.31,록/메탈,1201,89562
2021-07-19-10,19,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,33691794,2021.07.16,발라드_ 국내드라마,123,19976
2021-07-19-10,20,Celebrity,아이유,IU 5th Album 'LILAC',33239419,2021.03.25,댄스,3986,292662
2021-07-19-10,21,하루만 더,빅마마,하루만 더,33618271,2021.06.24,발라드,297,29993
2021-07-19-10,22,운전만해 (We Ride),브레이브걸스,We Ride,32860397,2020.08.14,댄스,2759,124520
2021-07-19-10,23,상상더하기,MSG워너비 TOP 8 (별루지 김정수 강창모 정기석 이동휘 이상이 박재정 원슈타인),MSG워너비 TOP 8 경연곡,33510307,2021.05.22,댄스,534,56618
2021-07-19-10,24,사이렌 Remix (Feat. UNEDUCATED KID Paul Blanco),호미들,사이렌 Remix,33359725,2021.03.20,랩/힙합,565,96341
2021-07-19-10,25,상상더하기,라붐 (LABOUM),Fresh Adventure,8130796,2016.04.06,댄스,2659,114922
2021-07-19-10,26,Timeless,SG 워너비,Sg Wanna Be+,1944399,2004.01.20,발라드,585,97073
2021-07-19-10,27,멜로디,ASH ISLAND,멜로디,33315511,2021.02.25,랩/힙합,614,96311
2021-07-19-10,28,내 손을 잡아,아이유,최고의 사랑 OST Part.4,3414749,2011.05.25,발라드_ 국내드라마,1059,160519
2021-07-19-10,29,넌 좋은 사람,SG 워너비,넌 좋은 사람,33692354,2021.07.16,발라드,282,15801
2021-07-19-10,30,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,33167063,2020.12.29,R&B/Soul,410,85560
2021-07-19-10,31,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],32962258,2020.10.02,POP,2309,179695
2021-07-19-10,32,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,32698101,2020.06.20,랩/힙합,359,56859
2021-07-19-10,33,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),33061995,2020.11.14,발라드,3673,157282
2021-07-19-10,34,라라라,SG 워너비,My Friend,1854856,2008.04.24,발라드,275,81084
2021-07-19-10,35,난 너를 사랑해,MSG워너비,난 너를 사랑해,33668958,2021.07.10,발라드,163,14225
2021-07-19-10,36,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,31737197,2019.04.12,댄스,9188,425912
2021-07-19-10,37,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,33632153,2021.06.29,랩/힙합,265,36829
2021-07-19-10,38,Lovesick Girls,BLACKPINK,THE ALBUM,32961718,2020.10.02,댄스,3629,194697
2021-07-19-10,39,LOVE DAY (2021) (바른연애 길잡이 X 양요섭 정은지),양요섭,LOVE DAY (2021) (바른연애 길잡이 X 양요섭 정은지),33331004,2021.03.05,댄스,816,96283
2021-07-19-10,40,Dolphin,오마이걸 (OH MY GIRL),NONSTOP,32559782,2020.04.27,댄스,3463,186982
2021-07-19-10,41,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,33248758,2021.01.31,발라드,307,50437
2021-07-19-10,42,마.피.아. In the morning,ITZY (있지),GUESS WHO,33447280,2021.04.30,랩/힙합,2886,56609
2021-07-19-10,43,잠이 오질 않네요,장범준,잠이 오질 않네요,33013877,2020.10.24,발라드,875,142991
2021-07-19-10,44,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,32578498,2020.05.06,록/메탈,10805,362870
2021-07-19-10,45,Blueming,아이유,Love poem,32183386,2019.11.18,록/메탈,2748,312428
2021-07-19-10,46,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들),32794652,2020.07.20,발라드,2049,195634
2021-07-19-10,47,아로하,조정석,슬기로운 의사생활 OST Part 3,32491274,2020.03.27,발라드_ 국내드라마,1443,222045
2021-07-19-10,48,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),33496587,2021.05.19,발라드,59,27569
2021-07-19-10,49,Life Goes On,방탄소년단,BE,33077234,2020.11.20,랩/힙합,5879,221421
2021-07-19-10,50,Off My Face,Justin Bieber,Justice,33359309,2021.03.19,POP,197,57537
2021-07-19-10,51,봄날,방탄소년단,YOU NEVER WALK ALONE,30244931,2017.02.13,랩/힙합,12775,544304
